frame,x,y,label
11859,73.3716,113.64816,0
12000,250.4838,74.800064,1
18724,6.814974,260.6469,0
7951,133.65533,191.25006,1
18969,123.72698,237.38551,0
7182,164.7408,105.702675,1
10881,88.192406,193.36339,1
13712,221.86075,45.15052,1
11973,88.08385,63.521072,1
2247,117.084526,102.04003,0
16469,207.39966,199.92459,1
3169,285.44855,63.644485,1
10417,140.07242,237.24031,1
7663,282.62863,227.15761,0
2110,67.70566,29.736227,1
8526,15.901681,155.6795,1
8728,70.79735,11.012457,0
6993,198.9832,47.28412,1
19107,221.765,39.596035,1
17865,167.21173,117.801254,1
2580,221.67885,46.204178,0
18821,79.83841,259.87262,1
11647,73.803764,85.88802,1
10842,6.85555,108.777405,1
18748,247.34685,97.60467,0
19580,53.46556,234.02824,0
1013,93.07736,58.85141,1
18068,232.79749,143.48431,1
2509,8.372876,196.56049,0
5625,177.04124,45.269245,1
7271,59.269012,279.57797,0
5649,234.96404,240.20648,0
18747,149.82634,26.92154,1
17205,190.65121,222.87073,1
12108,9.708619,51.1964,1
6408,82.28992,289.28445,1
8896,85.4539,164.8399,0
15560,226.58784,193.05374,0
15575,60.115128,191.60265,0
17769,135.34476,252.15944,1
13556,68.21314,57.374542,0
9861,231.66257,98.46311,0
7906,229.93022,288.4341,0
12274,178.97606,175.35893,1
9465,176.48578,83.94113,0
12210,53.819214,106.91238,1
7325,90.117744,37.04811,0
11661,229.23494,100.35379,0
7683,221.66302,239.38112,1
10827,54.4149,54.963108,1
4539,176.16125,45.287197,1
4346,16.82319,74.50722,1
13816,266.47104,95.83477,1
3349,149.86018,236.69737,1
14322,188.11835,225.98645,0
5252,62.98652,20.558228,0
13235,196.19589,176.57729,0
11648,199.58015,73.09551,1
9388,9.033294,224.72476,1
17869,20.962458,23.98719,0
2827,262.43405,229.90012,1
8718,56.518204,177.51271,0
1900,179.96764,48.42721,1
16150,40.027374,211.13043,0
10018,93.73706,81.91111,1
11624,264.46777,272.26752,1
15072,104.95142,42.996494,0
17369,232.97264,146.45953,0
16502,264.70276,238.4801,1
5701,6.028759,264.48944,1
1916,82.00037,122.31659,1
6221,126.5749,286.8403,1
2435,214.43527,120.2138,1
12132,273.87244,27.758577,1
19653,184.23053,2.3946085,0
4865,14.498086,253.27127,1
7675,22.197756,283.46124,0
2784,147.79291,154.53612,0
2609,233.20526,230.62804,1
1777,278.5465,264.22275,1
17819,88.54557,252.89197,1
7443,262.79288,234.35684,0
18558,6.0719213,229.93974,1
19894,112.59829,233.00244,0
15599,213.14993,249.862,0
18035,175.068,276.26248,0
13820,145.26544,54.158447,1
4815,150.7119,25.273643,1
3408,60.52936,287.27322,0
2474,217.81934,239.41747,1
8386,89.55889,63.22887,1
19529,241.0841,274.5636,0
13261,59.359543,189.1133,0
17320,89.63482,127.10191,0
6171,205.18071,13.733358,0
12081,186.80624,51.67496,1
414,201.42152,238.09294,1
12674,147.96329,114.66271,0
8818,120.83966,75.30948,0
10195,167.1105,106.46594,1
1402,84.435005,117.73275,1
2087,7.3477736,157.44061,1
15060,141.32123,284.079,0
17304,169.59781,87.47541,1
15061,46.551243,88.2105,1
2704,164.3368,18.310041,0
2620,99.473335,123.51183,1
4874,168.08658,104.69007,0
6306,272.85522,71.44701,1
812,26.23334,175.61095,1
13477,13.868275,17.81673,1
10303,75.56479,228.67607,0
2948,173.1867,81.43212,1
1832,83.36641,287.93842,1
1557,174.05693,101.17336,0
17534,25.18846,36.996147,0
7079,208.58481,121.216675,1
3394,74.90312,56.599075,1
11945,125.34454,104.89546,1
18707,54.85925,31.762398,1
5063,128.26411,30.542978,0
4422,6.031586,194.61633,1
14435,202.71097,186.42944,1
13445,41.761772,290.2034,0
14533,32.447353,133.55772,0
18143,102.4619,271.78766,1
16926,176.54549,179.00397,1
1286,21.868368,95.5715,0
5644,125.44628,89.0183,1
16441,122.833824,165.50113,1
3745,103.55598,158.18764,1
4250,94.362976,117.248474,1
3320,212.21097,88.55202,1
7749,281.08405,287.78506,0
14613,43.951565,279.81223,0
13235,247.14877,204.65144,1
2239,231.4326,149.47955,1
13367,256.92987,179.07556,1
13566,252.76695,265.01126,1
19594,132.47952,281.37448,0
16739,51.44025,9.530338,0
9557,39.277225,288.13412,0
10101,192.05397,106.47696,0
12060,66.317375,121.51668,1
11123,258.1084,174.73734,1
3402,70.46254,99.92043,0
4828,231.26257,203.20036,1
14054,36.906757,285.70654,1
13024,201.79689,232.46295,0
14418,35.39532,5.430359,0
5338,243.58612,53.33579,1
1661,175.84529,152.58476,1
18900,38.068367,287.4072,1
7329,90.09782,36.8807,0
17230,73.822044,115.60099,1
15959,181.72052,201.60753,0
15178,216.94916,24.110178,1
10585,86.14399,12.963741,1
9018,39.95695,69.93163,0
15763,12.739613,192.61769,1
10317,75.05854,269.32056,1
5171,24.381733,45.949528,0
6000,256.15268,229.23857,0
18972,179.37747,74.27899,0
1564,232.67851,231.21877,1
16676,253.0212,155.74095,0
6986,14.974747,35.70551,1
348,95.15142,194.9703,1
4190,266.14194,168.7372,0
15087,266.95908,223.18884,1
18412,276.74384,47.735294,1
19231,72.81643,261.301,0
2543,50.97443,173.3064,1
6515,79.68855,150.2629,1
14556,9.751413,209.25842,0
7269,236.53133,24.715168,0
5269,42.406967,36.59651,0
13897,71.67152,172.0927,1
4908,283.39716,197.68773,0
9986,124.37639,52.7578,0
2309,218.80785,247.00221,0
14963,123.72011,88.707855,0
16395,247.09166,25.069529,1
3330,177.47633,38.980156,1
3099,51.120262,41.680897,1
1781,104.8533,279.98123,0
5947,247.32558,247.42636,1
10085,4.2323103,111.15979,1
15172,202.88483,241.09908,0
12918,64.78575,100.98977,0
5937,41.58837,33.228878,1
3747,196.20001,235.31126,1
5865,78.04142,21.669685,0
12456,207.3491,163.97054,0
1583,71.563385,122.89095,0
5101,144.38403,157.81244,0
11604,135.33182,229.07512,0
16147,68.055984,281.40115,0
6057,135.89243,96.437706,1
14272,236.79611,90.416016,1
15350,259.95602,215.58015,1
6010,131.11406,72.659325,0
18691,230.89084,202.5548,1
17761,187.83145,246.87434,1
17553,187.08783,41.055912,1
16626,251.60193,274.8181,0
