frame,x,y,label
13177,118.099434,245.87515,1
16003,105.42197,275.43634,1
1750,143.8436,251.67519,0
5584,62.95637,34.892597,1
10870,279.32446,12.940564,1
12360,213.49985,7.7153726,0
13281,116.272095,291.01956,1
6964,123.687515,38.56474,0
7800,163.77826,136.04591,1
6096,255.45453,53.09507,0
5652,244.90977,21.671486,1
5543,95.19049,57.495,1
256,213.49886,37.39698,1
7380,51.426765,59.91588,0
192,231.33305,45.5333,1
1456,130.82486,228.88976,1
6122,68.278275,287.2481,0
11084,58.236534,173.24245,1
6069,256.58212,56.26062,1
7994,60.70928,233.34328,0
12754,64.41545,111.19949,0
10774,31.58304,70.207954,1
16237,254.64116,276.39154,1
17498,40.219093,246.93004,1
13195,121.750694,169.79626,1
8575,177.75768,123.737274,1
2814,238.45187,189.26155,1
17392,64.94748,136.5462,1
6325,157.52895,278.1453,0
8823,260.8715,270.23264,0
6237,90.358635,12.599598,0
22,140.67001,143.61038,1
1036,172.24646,38.397522,0
625,137.47491,197.63875,1
17106,217.94861,230.16081,0
14263,146.0653,205.56683,0
4677,276.93167,23.40882,0
6463,109.39169,285.16763,0
952,199.53372,191.97246,1
2356,33.45868,253.73364,1
10900,6.4627533,247.65804,0
4661,73.732414,8.889812,0
11637,152.56442,235.61986,1
13630,115.72294,39.774334,0
16583,16.132393,197.27863,1
5725,17.256466,166.00388,0
10808,213.39265,264.76514,1
3523,169.45882,152.31412,0
16269,200.17337,123.50168,1
5665,100.01619,137.54024,1
13231,194.63403,185.04991,0
15740,50.402008,123.78596,1
264,245.95569,25.640924,0
13862,276.0421,65.95846,1
17118,79.03424,117.603264,1
2215,189.74773,230.47285,1
10975,217.28728,14.404257,1
2152,278.979,240.03079,1
162,200.07928,63.92912,1
5447,174.92023,95.501434,1
2,206.68552,74.61587,1
7102,90.9489,102.422424,1
15532,150.22903,293.33368,1
3781,117.86347,126.84261,0
18914,290.26407,32.528854,0
435,101.7759,49.92822,1
1494,281.02325,68.341606,0
16956,134.88565,187.93436,0
116,208.12082,78.11773,1
2479,85.8308,200.23932,0
8081,210.13289,93.003555,1
13210,45.14465,107.03896,0
11217,236.30681,140.33357,1
2285,10.978479,250.70416,0
566,292.17853,207.31479,1
14000,212.76991,269.48035,1
2015,22.80921,115.799194,1
13467,174.67197,271.6003,0
7807,198.5442,50.433617,0
13293,112.52792,230.54008,0
44,76.76352,261.72867,1
18908,105.77792,281.22464,0
11862,129.62639,228.99088,1
1757,200.65196,54.556667,1
6028,68.42654,287.37967,0
14556,40.74649,193.66927,1
1944,161.60214,178.10622,0
18661,99.15342,137.08707,1
11506,57.270462,249.10765,0
11421,183.22038,158.51886,1
2471,87.979126,164.2508,0
2447,178.62279,278.85272,1
11851,289.16507,223.22314,0
5807,182.43082,291.7841,1
6539,244.9077,24.957933,1
13454,215.57191,114.18924,0
3435,111.31894,282.93613,0
5513,19.785334,64.795044,1
7393,240.30591,216.61874,1
306,188.7922,114.76122,0
2894,109.295845,216.25034,1
2953,221.93303,34.26952,1
6851,278.0701,26.036768,1
12931,217.63104,292.00818,1
2347,117.22277,42.35427,1
2585,69.43245,288.4269,0
16765,57.433258,226.80872,0
13689,193.48842,105.67777,1
16095,262.75348,162.60718,0
4512,270.32877,224.25832,1
1969,144.3811,116.34842,1
39,153.23372,275.945,1
4343,233.45789,272.04398,0
5502,169.86646,115.06808,1
7554,75.583786,187.46791,0
5284,66.008965,40.204338,0
9151,186.96022,215.79639,0
91,261.93378,105.449554,0
18234,235.91226,259.14163,1
12436,45.48564,133.57956,1
1723,132.1088,268.72653,1
15508,183.97102,213.46117,0
17218,37.96845,90.34327,0
49,209.02155,84.76564,1
5831,197.51347,188.288,0
6632,137.64238,248.98341,0
5543,277.31714,165.63855,1
16613,102.37177,125.85766,0
14799,179.0977,90.07655,0
9733,8.714786,74.82925,1
15327,163.98442,146.8931,0
1294,178.6047,122.516815,0
14650,86.85228,209.14291,0
4834,89.777885,212.95555,0
12014,219.41978,120.379944,1
10466,155.92812,16.179209,0
803,127.57466,127.294464,1
604,166.95203,158.2194,1
7913,24.059027,259.3992,0
3432,136.35544,166.36555,1
12096,273.44772,159.05469,0
17392,209.37675,275.483,1
14713,75.30509,139.4557,1
10756,232.83208,257.07382,1
16977,118.05639,129.40497,1
6211,124.74689,286.4599,1
2804,12.748028,166.51074,1
19407,155.30418,283.9982,0
5664,173.24971,38.459557,1
3701,278.64648,12.207207,0
180,203.51285,252.03253,1
8768,75.98185,186.88422,0
11845,203.23111,45.23333,0
2228,224.91798,119.18507,1
246,186.25032,66.41985,0
11,103.027336,90.6016,0
1717,244.68346,232.33812,1
9617,117.045654,255.7531,0
6166,90.50671,100.22691,0
4843,276.15735,64.8902,1
141,291.19485,206.07574,1
5012,154.22124,208.79994,0
14035,142.33952,118.39896,0
4405,105.34978,147.97769,0
5537,289.24634,159.55443,1
2352,136.86224,260.47443,0
18526,201.77641,67.347694,0
5355,274.59,273.42688,1
13380,285.513,230.51178,0
59,60.18513,19.008512,0
10821,40.16306,49.367123,1
14362,200.4119,155.0928,0
13286,180.90575,251.68697,0
9140,122.43539,28.608889,0
6176,10.854117,248.87253,0
3258,236.12375,138.82608,0
15826,198.83813,40.75538,1
19598,53.63516,64.649254,1
9717,93.17501,51.721283,0
7316,118.07701,256.75494,0
9382,134.11461,164.9013,0
13435,112.31646,284.86447,0
13632,180.92549,251.53355,0
9570,88.13255,287.41605,0
4087,124.48459,110.68983,1
2041,186.3945,194.8296,0
2848,271.42233,92.17829,1
5867,127.40916,190.26952,0
536,215.90012,172.5394,0
16742,113.212166,122.29766,0
13096,137.92752,252.43143,0
6274,224.67868,133.49365,0
6306,161.52678,229.65852,1
4782,271.30038,212.06628,0
3257,125.185005,40.512733,0
11125,218.47939,221.28539,1
7160,208.8321,275.06363,1
897,260.1702,53.878086,1
6229,10.754107,248.77516,0
3654,211.07457,38.31706,1
16377,144.25536,198.85133,0
3050,165.94992,123.17372,0
13286,198.51987,191.1836,1
8966,141.93628,146.50496,0
855,25.026997,145.29152,0
18345,233.93819,262.1483,0
15618,268.34418,178.14508,0
9952,226.03851,119.127625,1
12080,179.5994,119.610565,1
4147,277.50854,26.033558,1
8295,218.69383,8.051429,0
1093,56.617,95.44244,0
7621,141.95528,196.75723,1
9740,135.97993,192.23373,0
19900,84.67122,242.69336,1
40,116.0142,237.39073,1
15733,212.47319,284.47064,0
16319,25.951008,255.2041,1
7406,291.17368,79.06423,1
4282,210.63393,156.261,1
9436,200.40164,189.67003,1
17392,274.90875,111.32388,1
11067,176.32568,223.34964,1
2212,14.8025875,231.78224,0
6543,149.15137,238.59082,0
9423,271.85352,13.379374,1
9425,235.26537,218.373,0
5589,148.98755,266.0734,0
15409,179.70715,252.84042,1
12675,233.93144,274.1204,1
9625,159.38826,244.23502,0
1802,206.87062,219.20651,0
